id,study_author_year,detection_approach,model_architecture,dataset_used,generators_covered,reported_accuracy_auc,cross_generator_tested,key_limitation
C01,"Wang et al., 2020","Binary real/fake CNN classifier with careful pre-/post-processing and Blur+JPEG data augmentation","ResNet-50 (ImageNet-pretrained)","ForenSynths (720K train images ProGAN real/fake; 11-generator test sets; LSUN reals)","ProGAN (train); tested on StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, GauGAN, DeepFakes, CRN, IMLE, SAN, SITD","mAP 90.8 avg over 11 unseen-generator test sets with Blur+JPEG(0.5) aug (90.1 without aug)","yes - trained ProGAN, tested 11 others","Performs at chance on traditional (Photoshop-style) manipulations; 'for now' caveat that future generators may evade it"
C02,"Chai et al., 2020","Patch-based classification with limited receptive fields; heatmaps of which patches are detectable","Truncated Xception and ResNet patch classifiers (Xception blocks best)","CelebA-HQ (24,183 train), FFHQ (60,000 train), FaceForensics++","ProGAN, StyleGAN, StyleGAN2, Glow, GMM face generator; FF++ manipulations","AP 99.99 training on ProGAN, testing on StyleGAN (patch classifier); AP ~100 across unseen resolutions","yes - ProGAN-trained, tested StyleGAN/Glow/GMM","'No method is completely bulletproof' - better generators, out-of-distribution images, or adversarial attacks can defeat it"
C03,"Gragnaniello et al., 2021","Critical benchmark of SOTA GAN-image detectors under realistic conditions (compression, resizing, unseen generators)","Seven detectors: Xception, SRNet, Spec, M-Gb, Co-Net, Wang2020 ResNet50, PatchForensics + proposed no-down variant","362K LSUN reals + 362K ProGAN fakes (train); test reals from ImageNet, COCO, RAISE (~39K synthetic test)","ProGAN (train); tested StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, RelGAN, GauGAN","AUC above 0.9 for several methods on uncompressed unseen GANs; severe drops after compression/resizing; best no-down variant above 90% accuracy","yes - ProGAN-trained, 7 unseen GANs","Authors state 'we are still very far from having reliable tools for GAN image detection'; robustness experiments preliminary"
C04,"Yu et al., 2019","Learned GAN fingerprints for real/fake classification and closed-set source attribution","Deep CNN attribution classifier (fingerprint = final 1x1x512 feature/weight tensors); AutoEncoder visualization variant","CelebA and LSUN bedroom (20,000 reals each; 100K train / 10K test images per source)","ProGAN, SNGAN, CramerGAN, MMDGAN (all outputs 128x128x3)","Accuracy 99.43% (CelebA) / 98.58% (LSUN) on 5-class {real + 4 GANs} attribution, vs PRNU baseline 86.61/67.84","no - closed-set attribution, known GANs","Closed-set: needs source-labelled samples from every candidate GAN; evaluated only at 128x128 output size"
C05,"Marra et al., 2019","PRNU-style hand-crafted GAN fingerprint: average of denoising residuals, correlation-based source identification","Denoising-filter residual averaging (no learned classifier)","1,000 RGB 256x256 images per source; RAISE camera images; CycleGAN/ProGAN/StarGAN category sets","CycleGAN (9 configs), ProGAN (6 configs), StarGAN (5 configs)","Source-attribution accuracy 90.3% uncompressed, 90.1% after JPEG QF=95 (Sec. 4 source identification)","no - source ID among known GANs","Weaker on StarGAN male/smiling networks and on real cameras (low-energy PRNU patterns)"
C06,"Zhang et al., 2019","Frequency-spectrum classifier targeting GAN upsampling artifacts; AutoGAN simulator generates artifacts without needing real fakes","ResNet-34 (ImageNet-pretrained) on log frequency spectrum (phase discarded)","CycleGAN 14-category image sets + 4,000 MSCOCO images for AutoGAN training","CycleGAN (primary), StarGAN, GauGAN tested","Accuracy 97.2 avg (leave-one-out) for AutoGAN-trained spectrum classifier that never saw real fakes; 99.8 CycleGAN-trained","yes - detects unseen GANs via simulated artifacts","All classifiers fail on GauGAN (different upsampler); sensitive to up-sampler mismatch and training-category choice"
C07,"Frank et al., 2020","DCT frequency-domain analysis of grid-like upsampling artifacts with simple classifiers","Ridge regression and shallow 4-conv-layer CNN (~170K params) on DCT spectra","FFHQ, CelebA, LSUN bedrooms","StyleGAN, BigGAN, ProGAN, SN-DCGAN, CramerGAN, MMDGAN","Ridge-Regression-DCT 100.00% accuracy real-vs-fake on FFHQ (vs 75.78% on pixels); CNN-DCT source ID 99.64% LSUN / 99.07% CelebA","no - artefacts shown across the GANs analysed (six overall: BigGAN, ProGAN, StyleGAN, SN-DCGAN in the DCT analysis; ProGAN, SN-DCGAN, CramerGAN, MMDGAN in classification), but no train-on-one/test-on-unseen-GAN experiment","Classifier can still be evaded by specifically crafted adversarial perturbations"
C08,"Durall et al., 2020","Azimuthal integration of DFT power spectrum into 1D spectral feature + classical classifiers; proposes spectral regularization","SVM, logistic regression, K-means (unsupervised) on spectral feature","Faces-HQ (40K, self-built), CelebA (202,599), FaceForensics++","DCGAN, DRAGAN, LSGAN, WGAN-GP (CelebA); FaceForensics++ deepfakes","Accuracy 100% on Faces-HQ (SVM, 1000 samples) and 100% on CelebA (2000 samples); 85% on FF++ single frames","no - per-dataset supervised/unsupervised tests only","Detection assumes up-convolution generators; other generation techniques may not show these spectral signatures"
C09,"Liu et al., 2020","Global texture (Gram) statistics for fake face detection","Gram-Net (CNN leveraging global texture representations)","CelebA-HQ, FFHQ, CelebA (real); GAN face sets; ImageNet/BigGAN (natural)","StyleGAN, PGGAN, DCGAN, DRAGAN, StarGAN, BigGAN","~77.7% acc cross-GAN (train StyleGAN, test DCGAN/DRAGAN/StarGAN); >98% in-domain","yes - unseen GAN models evaluated","Authors state analysis covers only texture contrast; real/fake differences go beyond it"
C10,"Nataraj et al., 2019","Pixel-domain co-occurrence matrices fed to deep CNN","Deep CNN on 3-channel co-occurrence matrices","Two GAN datasets, 56,000+ images (unpaired translation; facial attributes)","CycleGAN, StarGAN",">99% classification accuracy on both datasets","yes - trained on one GAN, tested on the other","Only two GAN families evaluated; no explicit limitation stated in abstract"
C11,"Cozzolino et al., 2021","Contrastive learning with limited sub-sampling architecture","ResNet50 (ImageNet-pretrained, no first-layer subsampling) + 2 projection layers","LSUN (362K real) + 362K ProGAN images (train); ImageNet, COCO, RAISE (test)","ProGAN (train); StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, RelGAN, GauGAN (unseen test)","95.6% acc / 0.997 AUC avg on unseen GAN architectures","yes - seven unseen GAN architectures","Robustness to adversarial attacks left to future work"
C12,"Jeong et al., 2022","Frequency-level perturbation maps (FrePGAN) to suppress frequency artifacts","Perturbation generator + ResNet-50 deepfake classifier","ProGAN-generated train set; test images from FFHQ, LSUN, ImageNet, CelebA, COCO, Deepfake sets","ProGAN, StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, GauGAN","79.4% avg acc / 87.2% avg precision cross-model (4 training classes)","yes - known and unseen GAN models","Tradeoff: frequency artifacts aid known-GAN detection but reduce cross-GAN generalization"
C13,"Mandelli et al., 2022","Ensemble of orthogonally trained CNNs favoring real-image scores","Ensemble of five EfficientNet-B4 CNNs","FFHQ, Metfaces, AFHQ2 (~116K real) + ~200K synthetic (train); StyleGAN3 test pairs","StyleGAN2, StarGAN-v2, Taming Transformers, FaceVid2Vid, score-based models; StyleGAN3 (unseen)","0.9995 AUC on global test set incl. unseen StyleGAN3","yes - StyleGAN3 excluded from training","Orthogonality among CNNs only empirically verified; no theoretical grounding"
C14,"Ju et al., 2022","Fusion of global spatial and local patch features via attention","Two-branch ResNet-50 (ImageNet-pretrained) + patch selection module + multi-head attention","Self-built diverse test set: 128,424 images from 19 generation models","19 models: ProGAN, StyleGAN/2/3, BigGAN, WGAN, VAEGAN, GauGAN, StarGAN, CycleGAN, Pix2Pix, CRN, IMLE, SITD, SAN, FF++, Celeb-DF, Transformers, BGM","91.73% mean AP on unseen models (96.91% global AP mixed)","yes - unseen-model evaluation is central","Resizing high-resolution images makes artifacts harder to detect"
C15,"Tan et al., 2023","Learning on Gradients (LGrad): gradients from pretrained CNN as generalized artifact representation","Pretrained CNN transformation model converting images to gradients + classifier","Training set of Wang et al. (ForenSynths/CNNDetection): 20 ProGAN categories, 18,000 fake + 18,000 real images each; 1-class (horse), 2-class and 4-class training settings","ProGAN, StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, GauGAN, Deepfake (8 test models)","86.3% mean ACC / 92.7% mean AP over the 8 test models (1-class setting, StyleGAN-bedroom transformation model); +11.4% ACC and +13.4% AP over FrePGAN","yes - cross-model and cross-data, unseen domains","Turns data-dependent problem into a transformation-model-dependent one (authors' own framing)"
C16,"Tan et al., 2024","Neighboring Pixel Relationships (NPR) capturing up-sampling artifacts","Lightweight CNN (conv layers + ResNet blocks, 1.44M params) on NPR","ForenSynths ProGAN 4-class train (car, cat, chair, horse; 18K fake + 18K real per class)","28 generative models: 16 GANs, 1 deepfake method, 11 diffusion models","92.2% mean acc across 28 generators (+11.6% over prior SOTA)","yes - 28 unseen GAN and diffusion models","No explicit limitation stated; trained solely on ProGAN 4-class data"
C17,"Durall et al., 2019","Frequency-domain forensics: azimuthally-averaged 1D power spectrum features + classical classifier","SVM (RBF), logistic regression, K-means (unsupervised)","Faces-HQ (40K, self-assembled), CelebA, FaceForensics++","Self-trained DCGAN; fakes from thispersondoesnotexist.com; FF++ manipulations","100% accuracy on Faces-HQ with as few as 20 labeled samples; 91% accuracy on FF++ videos","no - per-dataset evaluation only","Low-resolution content harder to identify since available frequency spectrum is much smaller"
C18,"Dzanic et al., 2020","High-frequency Fourier spectral-decay analysis (fitted decay parameters)","KNN (k=5) on decay parameters","FFHQ + Cat Head Detection dataset (~5,000 images, 10/90 train/test)","StyleGAN, StyleGAN2, PGGAN, VQ-VAE2, ALAE","99.2% accuracy, uncompressed 1024x1024 images, mixed-generator training","no - five generators, none held out unseen","At 85% JPEG compression generated spectra become essentially indistinguishable from real; accuracy drops to 88.8% at 256x256"
C19,"Chandrasegaran et al., 2021","Counter-study of high-frequency spectral-decay features (shows artifact removable via upsampling choice)","KNN (k=5) on 3 spectral features (also SVM, MLP); GANs retrained with modified last-layer upsampling","CelebA (128), LSUN Bedrooms (128), CelebA-HQ (512)","DCGAN, LSGAN, WGAN-GP, StarGAN (+CRN, IMLE supplementary)","Detection rate collapses to 0-0.3% with bilinear upsampling vs 84.8-99.8% baseline","no - classifiers trained per-GAN","Its own finding: high-frequency spectral decay is not intrinsic to CNN-generated images, so detectors built on it are unreliable"
C21,"Jeong et al., 2022","Bilateral high-pass filters (frequency-level + pixel-level) amplifying frequency artifacts","ResNet-50 classifier with BiHPF front-end","LSUN, FFHQ (real); ProGAN images for training","ProGAN, StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN","84.2% mean accuracy / 81.8% mean AP on unseen GAN models (4-class ProGAN training)","yes - trained on ProGAN, tested on 5 unseen GANs","No limitations stated; evaluation covers GAN generators only"
C22,"Tan et al., 2024","Frequency-space learning: high-frequency image/feature representations + convolution in FFT domain","FreqNet - lightweight CNN with residual blocks, no pretraining, 1.9M parameters","ForenSynths (ProGAN training, 1/2/4-class) + GAN self-synthesis test sets","17 GANs incl. ProGAN, StyleGAN, StyleGAN2, BigGAN, CycleGAN, StarGAN, GauGAN, AttGAN, plus Deepfake set","92.8% mean accuracy over 17 GAN test sets, +9.8% over Ojha (83.0%)","yes - ProGAN-trained, 17 GAN test sources","No limitations stated in conclusion; evaluation restricted to GAN sources"
C23,"Ricker et al., 2024","Benchmark of GAN detectors on diffusion images + frequency-domain artifact analysis + retraining","Wang2020 (ResNet-50), Gragnaniello2021, Mandelli2022 (EfficientNet-B4 ensemble)","LSUN Bedroom 256 (primary); LSUN Cat/Horse, ImageNet, FFHQ extensions","5 GANs (ProGAN, StyleGAN, ProjectedGAN, Diff-StyleGAN2, Diff-ProjectedGAN) + 5 DMs (DDPM, IDDPM, ADM, PNDM, LDM)","GAN detectors drop on average 15.2% AUROC on DM images; DM-trained detector reaches 94.26% avg Pd@1%FAR on GANs, GAN-trained only 26.34% on DMs","yes - GAN-trained vs DM-trained cross-evaluation","DMs leave fewer detectable artifacts and perturbations degrade DM detectability more strongly"
C24,"Corvi et al., 2023","Forensic-trace (spectral fingerprint) analysis of diffusion models + evaluation of existing detectors","Spec, PatchForensics, Wang2020 (ResNet-50 w/ augmentation), Grag2021 (no first-layer downsampling)","Real: COCO, ImageNet, UCID; COCO prompts for generation","GLIDE, Latent Diffusion, Stable Diffusion, ADM, DALL-E 2 (+ProGAN, StyleGAN2/3, BigGAN, EG3D references)","Accuracy ~60-76% (AUC ~75-93%) on uncompressed DM images; falls to ~50-61% accuracy in compressed/resized social-network scenario","yes - GAN-trained detectors tested on DM images","Generalization remains the main hurdle; GAN-trained detectors work poorly on DM images, worse under compression/resizing"
C25,"Wang et al., 2023","Diffusion reconstruction error (DIRE): residual between image and its DDIM reconstruction as detection cue","ResNet-50 classifier on DIRE maps; ADM (LSUN-Bedroom) reconstructor, DDIM 20 steps","DiffusionForensics benchmark (LSUN-Bedroom, ImageNet sources)","8 DMs: ADM, DDPM, iDDPM, PNDM, LDM, SD-v1, SD-v2, VQ-Diffusion","99.9% average accuracy / 100 AP across 8 diffusion models incl. unseen (ADM-trained)","yes - generalizes to unseen diffusion models","No limitations stated; scope limited to diffusion-generated images"
C26,"Sha et al., 2023","Text-to-image fake detection + attribution via image-only and hybrid (image+prompt) classifiers","ResNet18 (image-only); CLIP image+text encoders + 2-layer MLP (hybrid)","MSCOCO, Flickr30k (real) + fakes from four T2I models","Stable Diffusion, Latent Diffusion, GLIDE, DALL-E 2","Hybrid detector trained on SD: accuracy 0.932/0.899/0.885 on Latent Diffusion/GLIDE/DALL-E 2 (MSCOCO)","yes - trained on SD, tested on three unseen T2I models","Image-only detection 'far from the design goal' on other models such as GLIDE and DALL-E 2"
C27,"Ma et al., 2023","Stepwise error between deterministic reverse and denoising diffusion steps (SeDID)","SeDID_Stat (statistical) and SeDID_NNs (neural network) variants","CIFAR-10, TinyImageNet, CelebA (all 32x32)","DDPM only","SeDID_NNs: average AUC 0.9634 / ACC 0.9399 across the three datasets","no - DDPM only, no other generator families","Dataset-dependent optimal timestep selection; unusual trends on CelebA need further investigation"
C28,"Ricker et al., 2024","Training-free detection via autoencoder reconstruction error of LDMs","Pre-trained LDM autoencoders + reconstruction distance (LPIPS); no trained classifier","Real images from LAION-5B + generated counterparts (prompt-matched; Midjourney set from Discord)","Stable Diffusion 1.1/1.5/2.1, Kandinsky 2.1, Midjourney 4/5/5.1","Mean AP 0.992 across state-of-the-art LDMs incl. SD, Kandinsky, Midjourney","yes - multiple LDMs incl. proprietary Midjourney","Best results require access to the generating LDM's autoencoder; method scoped to latent diffusion models"
C29,"Luo et al., 2024","Latent reconstruction error (LaRE) feature for diffusion-image detection","LaRE feature + Error-Guided feature REfinement module (EGRE, spatial+channel align-then-refine)","GenImage benchmark","8 image generators (GenImage subsets)","Surpasses SOTA by up to 11.9%/12.1% average ACC/AP across 8 generators on GenImage","yes - evaluated across 8 GenImage generators","Authors report residual real/fake feature overlap on unseen generators (Midjourney, ADM, BigGAN); LaRE alone is insufficient as sole input due to latent-space information loss"
C30,"Corvi et al., 2023","Forensic frequency/spectral artifact analysis of synthetic images (analysis paper, no detector proposed)","None - spectral analyses (power spectra, autocorrelation, radial/angular spectra)","Real: ImageNet, FFHQ, LAION; synthetic images from 13 models","GANs (BigGAN, StyleGAN2/3, StyleGAN-T, GALIP), VQ models, DMs (Score-SDE, ADM, GLIDE, DALL-E 2, eDiff-I), latent DMs (LDM, SD, DiT)","None reported - qualitative artifact characterization, no detection metrics","no - no detector trained; artifacts compared across families","Post-processing 'may significantly modify and hide' the identified artifacts"
C31,"Grommelt et al., 2024","Exposing/removing JPEG-compression and image-size biases in detection datasets","ResNet50 and Swin-T detectors","GenImage","Midjourney, SD v1.4, SD v1.5, Wukong, VQDM, ADM, GLIDE, BigGAN","Bias-corrected training raises cross-generator accuracy >11 pp on GenImage: ResNet50 71.68%->82.74%, Swin-T 74.09%->85.83%","yes - cross-generator evaluation across GenImage subsets","Even with constraints, 'datasets may contain other undesirable biases' (style differences, generator fingerprints)"
C32,"Chen et al., 2024","Contrastive training on diffusion-reconstructed hard samples (DRCT framework)","ConvNeXt-B and CLIP-ViT-L/14 (UnivFD) backbones (per official code repo)","DRCT-2M (proposed, million-scale), GenImage; real images from MSCOCO","16 types of diffusion models (incl. SD v1.4/v2)","Over 10% accuracy improvement in cross-set tests (trained on SD v1.4, tested on GenImage subsets)","yes - unseen diffusion models, cross-set tests","Authors' stated limitations: improvement on non-diffusion (GAN) images is less marked; evaluation covers only globally generated images, not small locally generated regions"
C33,"Cazenavette et al., 2024","Detection via Stable Diffusion inversion features","ResNet50 trained from scratch on concatenated image + decoded noise map + reconstruction","Real: LAION, WebLI, reverse-image-search sets; new SynRIS benchmark (15 eval sets)","Trained on SD; evaluated on 15+ incl. DALL-E 2/3, Midjourney, Imagen, Kandinsky 2/3, PixArt-alpha, SDXL, Playground 2.5, Stable Cascade","Average AUC-ROC 0.759 across tested generators under RIS protocol (trained on SD+LAION)","yes - trained on SD only, tested on unseen T2I models","May not transfer to non-diffusion T2I models (GANs, transformers); inversion pipeline needs significantly more compute"
C34,"Cozzolino et al., 2024","Zero-shot entropy-based forensics (coding cost of real-image model, trained on real images only)","Lossless multi-resolution neural image encoder (ZED)","Open Images (~338k real images) for encoder training; 19-generator synthetic test set","19 generators incl. GauGAN, BigGAN, StyleGAN2, GigaGAN, ADM, GLIDE, SD/SDXL, DiT, DALL-E 1/2/3, Midjourney v5, Firefly","~90.0% avg AUC across 19 generators; >3% avg accuracy gain over SoTA","yes - zero-shot, 19 unseen generators","Unreliable on heavily compressed/resized images; detects fully generated images only, not local manipulations"
C35,"Park & Owens, 2025","Supervised detector trained on massively diverse multi-generator dataset","ViT-S (CLIP-pretrained) classifier; ConvNeXt-S also tested","Community Forensics (2.7M images, 4,803 generators); eval on Wang, Ojha, Synthbuster, GenImage + own 21-model eval set","4,803 generators: latent/pixel diffusion, GANs, commercial models","0.987 mAP and 89.2% accuracy on out-of-distribution eval set (21 unseen models)","yes - 21 unseen models, 5 generator families","Dataset skewed toward diffusion models; error rates still too high for critical applications"
