id,title,year,doi_or_arxiv,decision,section_fit,reason
C01,"CNN-generated images are surprisingly easy to spot... for now",2020,"arXiv:1912.11035","include-primary","3.2, 6","Meets all criteria; field-defining CNN transfer-learning detector with cross-generator protocol"
C02,"What makes fake images detectable? Understanding properties that generalize",2020,"arXiv:2008.10588","include-primary","3.2, 3.5","Meets criteria; patch-based generalization study with heatmap evidence"
C03,"Are GAN generated images easy to detect? A critical analysis of the state-of-the-art",2021,"arXiv:2104.02617","include-primary","3.2, 6","Meets criteria; critical cross-detector benchmark under realistic conditions"
C04,"Attributing Fake Images to GANs: Learning and Analyzing GAN Fingerprints",2019,"arXiv:1811.08180","include-primary","3.1","Meets criteria; learned GAN fingerprints, attribution + detection"
C05,"Do GANs leave artificial fingerprints?",2019,"arXiv:1812.11842","include-primary","3.1","Meets criteria; PRNU-style fingerprint forensics on GAN images"
C06,"Detecting and Simulating Artifacts in GAN Fake Images",2019,"arXiv:1907.06515","include-primary","3.1","Meets criteria; spectral artefact simulation enabling unseen-GAN detection"
C07,"Leveraging Frequency Analysis for Deep Fake Image Recognition",2020,"arXiv:2003.08685","include-primary","3.1","Meets criteria; core frequency-domain detection study"
C08,"Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions",2020,"arXiv:2003.01826","include-primary","3.1, 2","Meets criteria; explains upsampling spectral artefacts + detection results"
C09,"Global Texture Enhancement for Fake Face Detection in the Wild",2020,"arXiv:2002.00133","include-primary","3.2","Meets criteria; still-image GAN-face detection with robustness focus"
C10,"Detecting GAN generated Fake Images using Co-occurrence Matrices",2019,"arXiv:1903.06836","include-primary","3.1","Meets criteria; handcrafted co-occurrence features + CNN hybrid"
C11,"Towards Universal GAN Image Detection",2021,"arXiv:2112.12606","include-primary","3.2","Meets criteria; contrastive universal detector, robustness tested"
C12,"FrePGAN: Robust Deepfake Detection Using Frequency-level Perturbations",2022,"arXiv:2202.03347","include-primary","3.1","Meets criteria; frequency-perturbation training for unseen-GAN generalization"
C13,"Detecting GAN-generated Images by Orthogonal Training of Multiple CNNs",2022,"arXiv:2203.02246","include-primary","3.2","Meets criteria; CNN ensemble generalizing to unseen StyleGAN3"
C14,"Fusing Global and Local Features for Generalized AI-Synthesized Image Detection",2022,"arXiv:2203.13964","include-primary","3.2","Meets criteria; global+local fusion across 19 generators"
C15,"Learning on Gradients: Generalized Artifacts Representation for GAN-Generated Images Detection",2023,"doi:10.1109/CVPR52729.2023.01165","include-primary","3.2","Meets criteria; gradient-representation detector with cross-GAN gains"
C16,"Rethinking the Up-Sampling Operations in CNN-based Generative Network for Generalizable Deepfake Detection",2024,"arXiv:2312.10461","include-primary","3.1, 3.2","Meets criteria; NPR artefact generalizing across 28 GAN/diffusion generators"
C17,"Unmasking DeepFakes with simple Features",2019,"arXiv:1911.00686","include-primary","3.1","Meets criteria; well-cited classical-feature spectral detector"
C18,"Fourier Spectrum Discrepancies in Deep Network Generated Images",2020,"arXiv:1911.06465","include-primary","3.1","Meets criteria; spectral decay statistics for detection"
C19,"A Closer Look at Fourier Spectrum Discrepancies for CNN-generated Images Detection",2021,"arXiv:2103.17195","include-primary","3.1, 7","Meets criteria; important caveat on frequency-cue reliability"
C20,"On the Frequency Bias of Generative Models",2021,"arXiv:2111.02447","include-secondary","2, 3.1","In scope but generator-analysis rather than a detector; cite in background/artefact discussion"
C21,"BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection",2022,"arXiv:2109.00911","include-primary","3.1","Meets criteria; frequency-filter detector with cross-domain evaluation"
C22,"Frequency-Aware Deepfake Detection: Improving Generalizability through Frequency Space Learning",2024,"arXiv:2403.07240","include-primary","3.1","Meets criteria; FreqNet cross-generator frequency learning"
C23,"Towards the Detection of Diffusion Model Deepfakes",2024,"arXiv:2210.14571","include-primary","3.2, 7","Meets criteria; GAN-to-diffusion generalization failure evidence"
C24,"On the detection of synthetic images generated by diffusion models",2023,"arXiv:2211.00680","include-primary","3.2, 6, 7","Meets criteria; central cross-paradigm generalization study"
C25,"DIRE for Diffusion-Generated Image Detection",2023,"arXiv:2303.09295","include-primary","3.2, 4","Meets criteria; reconstruction-error detector + benchmark dataset"
C26,"DE-FAKE: Detection and Attribution of Fake Images Generated by Text-to-Image Generation Models",2023,"arXiv:2210.06998","include-primary","3.4","Meets criteria; text-to-image detection and attribution study"
C27,"Exposing the Fake: Effective Diffusion-Generated Images Detection",2023,"arXiv:2307.06272","include-primary","3.2","Meets criteria; diffusion-specific stepwise-error detector"
C28,"AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error",2024,"arXiv:2401.17879","include-primary","3.2","Meets criteria; training-free reconstruction-error detector"
C29,"LaRE^2: Latent Reconstruction Error Based Method for Diffusion-Generated Image Detection",2024,"arXiv:2403.17465","include-primary","3.2","Meets criteria; latent reconstruction error on GenImage"
C30,"Intriguing properties of synthetic images: from generative adversarial networks to diffusion models",2023,"arXiv:2304.06408","include-primary","2, 3.1","Meets criteria; GAN-vs-diffusion artefact comparison grounding Section 2"
C31,"Fake or JPEG? Revealing Common Biases in Generated Image Detection Datasets",2024,"arXiv:2403.17608","include-primary","4, 7","Meets criteria; dataset-bias caveat central to gap analysis"
C32,"DRCT: Diffusion Reconstruction Contrastive Training towards Universal Detection of Diffusion Generated Images",2024,"PMLR v235 (chen24ay)","include-primary","3.2","Meets criteria; contrastive cross-generator training, ICML venue"
C33,"FakeInversion: Learning to Detect Images from Unseen Text-to-Image Models by Inverting Stable Diffusion",2024,"arXiv:2406.08603","include-primary","3.2","Meets criteria; unseen-generator detection via SD inversion"
C34,"Zero-Shot Detection of AI-Generated Images",2024,"arXiv:2409.15875","include-primary","3.2","Meets criteria; zero-shot detector without fake training data"
C35,"Community Forensics: Using Thousands of Generators to Train Fake Image Detectors",2025,"arXiv:2411.04125","include-primary","3.2, 4, 7","Meets criteria; generator-diversity scaling evidence for generalization"
C36,"A Sanity Check for AI-generated Image Detection",2025,"arXiv:2406.19435","include-primary","4, 6, 7","Meets criteria; hard-case benchmark exposing detector failures"
C37,"Towards Universal Fake Image Detectors that Generalize Across Generative Models",2023,"arXiv:2302.10174","include-primary","3.4","Meets criteria; foundational CLIP-feature universal detector"
C38,"Raising the Bar of AI-generated Image Detection with CLIP",2024,"arXiv:2312.00195","include-primary","3.4","Meets criteria; few-shot CLIP detection with robustness analysis"
C39,"Leveraging Representations from Intermediate Encoder-blocks for Synthetic Image Detection",2024,"arXiv:2402.19091","include-primary","3.4","Meets criteria; CLIP intermediate-block detector, broad evaluation"
C40,"Forgery-aware Adaptive Transformer for Generalizable Synthetic Image Detection",2024,"arXiv:2312.16649","include-primary","3.3, 3.4","Meets criteria; transformer adapter detector across GAN+diffusion"
C41,"C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection",2025,"arXiv:2408.09647","include-primary","3.4","Meets criteria; prompt-injection CLIP detector, 20 generators"
C42,"AntifakePrompt: Prompt-Tuned Vision-Language Models are Fake Image Detectors",2023,"arXiv:2310.17419","include-secondary","3.4","In scope; well-cited preprint confirmed (77 citations, S2, 8 Aug 2026)"
C43,"CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection",2024,"arXiv:2402.12927","include-primary","3.4","Meets criteria; systematic CLIP-adaptation comparison, peer-reviewed"
C44,"Cross-Forgery Analysis of Vision Transformers and CNNs for Deepfake Image Detection",2022,"arXiv:2206.13829","include-primary","3.3","Meets criteria; direct ViT-vs-CNN generalization evidence"
C45,"Detecting images generated by diffusers",2024,"doi:10.7717/peerj-cs.2127","include-secondary","3.4","In scope, peer-reviewed; overlaps stronger CLIP-feature studies - secondary"
C46,"Bi-LORA: A Vision-Language Approach for Synthetic Image Detection",2025,"doi:10.1111/exsy.13829","include-secondary","3.4","In scope, peer-reviewed; niche captioning reframing - secondary"
C47,"Mixture of Low-rank Experts for Transferable AI-Generated Image Detection",2024,"arXiv:2404.04883","include-secondary","3.4","In scope; 34 citations (S2, 8 Aug 2026), acceptable as preprint; kept secondary"
C48,"Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection",2025,"arXiv:2411.15633","include-primary","3.4","Meets criteria; ICML 2025 CLIP-subspace generalization method"
C49,"Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities",2024,"arXiv:2407.20337","include-secondary","3.3, 4","In scope, ECCV 2024; large D3 dataset - secondary to keep primary set focused"
C50,"Generalizable Synthetic Image Detection via Language-guided Contrastive Learning",2026,"doi:10.1109/TAI.2025.3641104","include-secondary","3.4","Peer-reviewed (IEEE TAI vol 7 no 6, June 2026, pp. 3485-3496; Crossref-confirmed 12 Aug 2026 — the 2025 in the DOI is acceptance-year encoding); kept secondary - overlaps stronger CLIP-based primary studies"
C51,"CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images",2024,"arXiv:2303.14126","include-primary","4, 3.5","Meets criteria; the project's primary dataset with XAI analysis"
C52,"GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image",2023,"arXiv:2306.08571","include-primary","4","Meets criteria; the project's planned cross-generator dataset"
